EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:24:39	0.0000	2.0020	1.5832	0.5418	0.5418	0.5418	0.5418
2	18:30:06	0.0000	1.5116	1.5166	0.5591	0.5591	0.5591	0.5591
3	18:35:38	0.0000	1.2003	1.5787	0.5850	0.5850	0.5850	0.5850
4	18:41:06	0.0000	0.8685	1.9956	0.5778	0.5778	0.5778	0.5778
5	18:46:35	0.0000	0.5752	2.3921	0.5677	0.5677	0.5677	0.5677
6	18:52:04	0.0000	0.3256	3.3177	0.5504	0.5504	0.5504	0.5504
7	18:57:30	0.0000	0.1746	3.8546	0.5548	0.5548	0.5548	0.5548
8	19:03:01	0.0000	0.0771	3.8538	0.5591	0.5591	0.5591	0.5591
9	19:08:32	0.0000	0.0298	3.9516	0.5778	0.5778	0.5778	0.5778
10	19:14:02	0.0000	0.0127	4.0788	0.5720	0.5720	0.5720	0.5720
